Generation,bc01,bc02
5,2.1E-03,0.0009521027405
12,1.24E-02,1.26E-02
21,0.01155283371,2.02E-02
29,1.38E-02,1.8E-02
37,1.97E-02,0.03198711958
45,0.03126405993,0.03146625844
54,0.07190146266,0.06532225438
62,0.1433059274,0.1463532324
70,0.237246059,0.3005874605
79,0.2891106032,0.4802864753
87,0.3139313671,0.5589392864
91,0.3150780968,0.5904047241
99,0.3713769985,0.7252323226
108,0.3743612222,0.8108340499
116,0.2782517024,0.8791325301
124,0.393134303,0.9129565377
132,0.4723978043,0.9218715515
140,0.4903833179,0.9463447712
149,0.4825581395,0.9526564798
157,0.5262463787,0.945886626
166,0.5658716369,0.9463336521
174,0.5412316076,0
182,0.5868910232,0.9550683463
190,0.5690469636,0.9231243577
199,0.4662073702,0.9396741476
207,0.5995631996,0.9446791056
215,0.5588425361,0.9060741562
232,0.5053815651,0.9464858279
240,0.400481881,0.9075721598
248,0.4272022133,0.9361631208
257,0.4174970655,0.9354232348
265,0.4236747028,0.9496621089
